Open,High,Low,Close,Volume,Dividends,Stock Splits,symbol,company_name,sector,industry,date
189.34,191.0,188.6,189.39,379386,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-06
188.57,188.57,169.79,177.77,1333167,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-09
177.41,177.41,168.65,172.67,1550407,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-10
172.89,175.64,171.31,172.29,746265,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-11
172.26,173.91,171.14,173.66,684018,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-12
171.79,173.38,170.58,171.07,667819,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-13
172.69,175.48,163.21,170.36,1946345,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-16
167.99,172.68,166.1,171.76,1358063,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-17
171.77,173.04,170.1,171.24,986790,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-18
171.35,175.89,171.35,171.7,1572650,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-20
172.09,174.18,169.31,173.52,1065295,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-23
174.26,176.05,170.84,175.2,946603,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-24
175.68,176.06,172.02,175.69,891870,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-25
180.58,184.41,177.23,177.43,874388,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-26
177.75,181.64,177.66,178.08,1088833,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-27
177.67,182.56,176.49,181.15,1165356,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-06-30
180.98,189.39,180.3,188.94,1351393,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-01
186.6,187.49,182.94,184.47,1048891,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-02
186.01,187.42,182.44,184.53,665312,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-03
184.43,185.0,180.52,181.52,800831,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-07
180.62,184.32,179.86,182.25,518646,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-08
184.05,184.05,180.9,182.56,660777,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-09
181.68,186.2,180.31,184.05,700889,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-10
182.19,183.3,181.36,182.52,402466,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-11
182.8,184.64,180.89,183.45,493167,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-14
183.5,185.0,176.0,176.94,582274,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-15
176.0,176.93,168.61,170.28,1250352,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-16
169.74,171.84,169.56,170.82,786916,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-17
171.1,171.32,168.36,168.94,630487,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-18
169.41,170.46,167.87,168.75,479062,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-21
170.49,174.38,160.9,162.68,1734191,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-22
165.31,166.04,162.04,164.82,1112992,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-23
164.01,164.01,155.26,155.46,1500954,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-24
154.99,156.95,152.96,155.6,1187587,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-25
156.29,158.36,154.1,154.95,1478061,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-28
153.78,163.53,152.33,162.82,1917778,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-29
162.11,166.5,161.18,165.44,1797503,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-30
166.2,169.65,164.62,166.45,1529411,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-07-31
166.98,168.53,162.02,162.98,1130469,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-01
162.97,166.22,160.97,164.68,867967,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-04
165.37,166.77,164.27,164.7,613869,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-05
165.19,166.26,163.47,163.48,715922,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-06
164.2,169.42,164.2,169.02,926034,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-07
169.4,172.62,167.88,172.3,606391,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-08
172.54,175.0,171.24,171.66,853416,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-11
172.69,175.77,172.46,175.21,605709,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-12
176.04,179.34,175.56,178.51,777126,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-13
177.11,179.31,175.0,178.74,611522,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-14
179.51,179.51,175.84,178.47,747960,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-15
178.79,179.54,177.44,177.61,675665,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-18
178.54,182.67,178.16,182.56,745811,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-19
182.96,185.23,182.64,184.7,792379,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-20
184.88,186.05,183.88,183.95,657448,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-21
184.33,186.19,182.5,185.58,627249,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-22
184.95,185.63,182.69,183.88,793548,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-25
183.21,184.0,181.18,181.45,978007,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-26
181.53,183.59,180.32,182.41,672578,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-27
182.36,182.43,180.46,181.22,945370,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-28
180.95,182.37,180.43,181.58,599454,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-08-29
180.33,183.05,180.1,181.51,533846,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-02
180.89,181.94,180.42,181.57,520810,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-03
182.24,186.49,180.96,185.68,742687,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-04
186.34,190.82,185.9,190.12,654905,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-05
190.0,190.0,184.54,185.76,637069,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-08
184.84,186.8,180.55,186.43,461425,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-09
186.57,187.83,181.89,186.06,1085986,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-10
186.75,191.2,186.17,190.79,675360,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-11
189.58,193.12,188.28,191.72,736559,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-12
191.54,192.18,188.24,189.58,657960,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-15
190.35,191.53,185.74,186.26,636170,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-16
186.88,191.16,185.0,187.39,518505,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-17
187.41,188.94,186.44,188.11,562476,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-18
187.92,189.18,186.78,188.64,1396397,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-19
189.69,194.8,188.48,194.16,720598,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-22
194.14,197.54,193.0,194.72,670155,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-23
194.32,200.71,194.32,199.7,776533,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-24
199.95,200.15,194.02,197.62,759624,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-25
198.74,201.07,197.02,200.85,452085,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-26
200.5,201.7,198.72,201.07,770632,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-29
201.21,205.74,201.0,204.44,671838,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-09-30
203.95,204.71,200.9,203.51,581220,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-01
202.76,207.32,202.65,205.54,597767,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-02
206.21,208.64,205.52,207.24,585571,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-03
207.17,209.73,206.52,206.84,588703,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-06
208.88,212.87,207.65,209.7,536025,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-07
209.12,209.65,204.65,205.2,496803,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-08
206.08,206.53,201.26,201.6,739491,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-09
202.57,202.93,195.95,196.11,720768,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-10
198.47,199.77,195.98,197.76,548719,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-13
196.85,204.4,195.76,203.81,433875,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-14
203.81,205.53,202.3,205.0,422933,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-15
205.08,205.75,203.71,204.24,369180,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-16
204.07,205.31,201.84,204.56,377408,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-17
205.5,208.16,204.62,207.24,297052,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-20
207.49,208.65,206.27,206.8,331946,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-21
207.18,211.14,207.18,210.4,531565,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-22
208.1,211.14,207.2,208.63,500951,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-23
211.86,214.1,200.7,210.68,943192,0.0,0.0,UHS,Universal Health Services,Health Care,Health Care Facilities,2025-10-24
211.43,214.28,210.03,214.03,925200,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-10-27
220.1,226.72,211.65,219.32,1422400,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-10-28
217.8,227.22,217.7,225.3,1020200,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-10-29
224.25,227.16,218.16,218.69,657800,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-10-30
217.78,220.14,215.64,217.01,507900,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-10-31
220.23,220.76,216.09,220.7,695100,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-03
220.07,226.88,219.6,224.19,763300,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-04
222.44,228.08,221.25,227.95,650800,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-05
226.13,228.26,224.25,226.39,418800,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-06
227.08,229.76,225.3,229.23,573200,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-07
218.5,224.14,217.26,222.64,976300,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-10
223.83,226.23,221.51,224.41,505500,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-11
224.35,231.37,224.08,228.42,494100,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-12
228.35,230.33,224.02,227.57,492452,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-13
227.95,227.98,223.51,225.04,524017,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-14
223.9,229.23,221.695,226.5,862155,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-17
226.03,229.35,224.2,228.84,686031,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-18
229.07,229.99,223.1001,227.94,711097,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-19
228.88,230.9299,225.19,225.38,1011039,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-20
227.5,235.4765,227.45,231.92,679471,0.0,0.0,UHS,"Universal Health Services, Inc.",Healthcare,Medical Care Facilities,2025-11-21
